Correlation	P_Value	Taxa	Compartment	EnvironmentalFactors	cor_method	r2_cor
-0.0497651217232251	0.397664466466673	Fungi	Endo	Precipitation	Spearman	0.00247656734012741
-0.0662148169901281	0.26020166091267	Fungi	Endo	Radiation	Spearman	0.00438440198903615
-0.101126196341528	0.0850557485589429	Fungi	Endo	Runoff	Spearman	0.0102265075865053
-0.0551903441075984	0.348172565875316	Fungi	Endo	Snow_water_equivalent	Spearman	0.00304597408271512
-0.0104408792562526	0.859236379901851	Fungi	Endo	Soil_moisture	Spearman	0.000109011959643646
0.0142974916525897	0.808114157213107	Fungi	Endo	Vapor_pressure	Spearman	0.000204418267555871
-0.0533577745757367	0.364436364994193	Fungi	Endo	Vapor_pressure_deficit	Spearman	0.00284705210767514
-0.130449765372111	0.0260647644950171	Fungi	Endo	Wind_speed	Spearman	0.0170171412856387
-0.0442366137755816	0.460958315072613	Other-Eukaryotes	Endo	Actual_evapotranspiration	Spearman	0.00195687799832997
-0.125124296759466	0.0363853838385997	Other-Eukaryotes	Endo	Climate_water_deficit	Spearman	0.0156560896395509
-0.0277048098517092	0.644364681724195	Other-Eukaryotes	Endo	Drought	Spearman	0.000767556488919363
-0.0555991382633953	0.353974923862364	Other-Eukaryotes	Endo	Max_temperature	Spearman	0.00309126417563215
0.0336910161338774	0.57452763004077	Other-Eukaryotes	Endo	Min_temperature	Spearman	0.00113508456813319
-0.073052980460246	0.223007228768458	Other-Eukaryotes	Endo	Potential_evapotranspiration	Spearman	0.00533673795412508
0.154006874810858	0.0098538815916105	Other-Eukaryotes	Endo	Precipitation	Spearman	0.0237181174890074
-0.170353042682039	0.00425348037870478	Other-Eukaryotes	Endo	Radiation	Spearman	0.0290201591510285
0.0424080890868361	0.479711532789582	Other-Eukaryotes	Endo	Runoff	Spearman	0.00179844601999703
-0.0846860260959199	0.157576646334133	Other-Eukaryotes	Endo	Snow_water_equivalent	Spearman	0.00717172301591883
0.0680184740623725	0.256631231799132	Other-Eukaryotes	Endo	Soil_moisture	Spearman	0.00462651281377364
0.147158674771438	0.0137069179470941	Other-Eukaryotes	Endo	Vapor_pressure	Spearman	0.021655675560486
-0.0938438706137233	0.117174789651793	Other-Eukaryotes	Endo	Vapor_pressure_deficit	Spearman	0.00880667205176524
0.0707687836978748	0.237852572815434	Other-Eukaryotes	Endo	Wind_speed	Spearman	0.00500822074607659
